Item Id,Item Name,Price,Sales,Nome da loja,Commission Rate,Commission,Product Link,Offer Link
22893970041,Kit 3 Prateleiras 30cm MDF Luxo Nichos Sala Cozinha Quarto Banheiro Com Kit De Instalação,"19,90",30mil+,Madelux,13%,"R$2,59",https://shopee.com.br/product/1019693340/22893970041,https://s.shopee.com.br/5fmqA4I5MU
58262541095,Camisa Camiseta MASCULINA Brasil AZUL Torcedor Patriota Copa do Mundo MODELO 2026 BORDADA,"39,45",353,Universo Atacadão Presentes,7%,"R$2,76",https://shopee.com.br/product/566490318/58262541095,https://s.shopee.com.br/5q6GMNHS1X
21852845406,Hand Grip Flexor De Punho Exercício Para Mãos Ajustável Mola Treinar Antebraço 60kg,"19,00",70mil+,GH-SHOP,23%,"R$4,37",https://shopee.com.br/product/479201578/21852845406,https://s.shopee.com.br/7Kv498Bjyq
9767997626,Tênis Feminino Academia para Caminhada O2X Mulher Promoção Corrida,"52,99",30mil+,getshoes,16%,"R$8,48",https://shopee.com.br/product/289452025/9767997626,https://s.shopee.com.br/7VEULRB6dt
25467989076,"Óculos de Ciclismo AIELBRO para Atividades ao Ar Livre, Corrida, Bicicleta, Pesca e Passeios.","10,67",100mil+,Choice Oficial,11%,"R$1,17",https://shopee.com.br/product/1006215031/25467989076,https://s.shopee.com.br/7fXuXkATIw
18296947083,Bermuda de Compressão Masculina Treino com Forro Duplo Kong,"38,90",10mil+,conexaobrands,23%,"R$8,95",https://shopee.com.br/product/326710202/18296947083,https://s.shopee.com.br/7prKk39pxz
20369849201,KIT FREIO A DISCO HIDRÁULICO ABSOLUTE WILD COMPT PAR + DISCOS 160MM ÓLEO MINERAL PRONTO P/ USO MTB,"197,90",5mil+,RTM BIKES LTDA,28%,"R$55,41",https://shopee.com.br/product/819102597/20369849201,https://s.shopee.com.br/6ffNLuEHKm
23398680493,Tênis Feminino Corrida Amortecimento Alto Performance,"52,89",1mil+,ARMYZ | Rafarella,33%,"R$17,45",https://shopee.com.br/product/1057181646/23398680493,https://s.shopee.com.br/6pynYDDdzp
22694639165,Capa para copos térmicos Com Alça De Ombro Perfeita Para Transporte,"21,59",3mil+,Otimo.bolsas.mochilas,8%,"R$1,73",https://shopee.com.br/product/1420388291/22694639165,https://s.shopee.com.br/70IDkWD0es
19443440957,Shorts Masculino 2 em 1 Corrida Forrado Bermuda de Compressão Fitness e Atividades Físicas,"37,60",90mil+,conexaobrands,18%,"R$6,77",https://shopee.com.br/product/326710202/19443440957,https://s.shopee.com.br/7AbdwpCNJv
14107129175,Maxboost KIT Bola De Ginastica Pilates Suíça 55cm Para Exercícios Alongamento Yoga Fitness Até 200kg,"45,90",9mil+,Maxboost Urban Fitness,33%,"R$15,15",https://shopee.com.br/product/597148703/14107129175,https://s.shopee.com.br/3B5VBTRbRA
51401454741,"Tênis De Corrida Ultraleve Com Placa De Carbono Para Maratona , Masculino E Feminino","89,79",8mil+,Voando 3.0,9%,"R$8,08",https://shopee.com.br/product/902265846/51401454741,https://s.shopee.com.br/30m4zASEm9
55209964091,Guarda Chuva Reforçado Grande Contra Vento Sombrinha Preto com Proteção UV para Sol,"25,90",1mil+,Benetton Utilidades,18%,"R$4,66",https://shopee.com.br/product/1109263850/55209964091,https://s.shopee.com.br/2qSemrSs78
58204297724,Kit 2 Camisetas Dry Fit Feminina Academia Fitness Esportiva Caminhada Corrida Treino Proteção UV,"23,96",2mil+,Lamovie Oficial,43%,"R$10,30",https://shopee.com.br/product/1636494323/58204297724,https://s.shopee.com.br/2g9EaYTVS7
